4th and Mission,2010,17:00-18:00,5464,37.784506,-122.404274
6th and Mission,2010,17:00-18:00,1556,37.780987,-122.408727
7th and Mission,2010,17:00-18:00,1150,37.779214,-122.410948
8th and Mission,2010,17:00-18:00,974,37.777476,-122.413190
9th and Mission,2010,17:00-18:00,670,37.776238,-122.414735
10th and Mission,2010,17:00-18:00,432,37.775288,-122.415947
3rd and Howard,2010,17:00-18:00,1866,37.785006,-122.400509
4th and Howard,2010,17:00-18:00,1746,37.783259,-122.402740
6th and Howard,2010,17:00-18:00,651,37.779732,-122.407193
7th and Howard,2010,17:00-18:00,797,37.777985,-122.409414
8th and Howard,2010,17:00-18:00,640,37.776204,-122.411645
9th and Howard,2010,17:00-18:00,492,37.775008,-122.413179
10th and Howard,2010,17:00-18:00,205,37.774042,-122.414392
13th and Howard and SVN,2010,17:00-18:00,222,37.770361,-122.417653
3rd and Folsom,2010,17:00-18:00,1113,37.783776,-122.398974
4th and Folsom,2010,17:00-18:00,1111,37.782038,-122.401184
6th and Folsom,2010,17:00-18:00,352,37.778511,-122.405658
7th and Folsom,2010,17:00-18:00,570,37.776755,-122.407869
8th and Folsom,2010,17:00-18:00,405,37.774991,-122.410089
9th and Folsom,2010,17:00-18:00,315,37.773787,-122.411645
10th and Folsom,2010,17:00-18:00,232,37.772829,-122.412857
13th and Folsom,2010,17:00-18:00,200,37.769564,-122.415583
3rd and Harrison,2010,17:00-18:00,824,37.782555,-122.397429
4th and Harrison,2010,17:00-18:00,925,37.780800,-122.399650
5th and Harrison,2010,17:00-18:00,350,37.779036,-122.401882
6th and Harrison,2010,17:00-18:00,350,37.777273,-122.404103
7th and Harrison,2010,17:00-18:00,250,37.775517,-122.406345
8th and Harrison,2010,17:00-18:00,200,37.773770,-122.408544
9th and Harrison,2010,17:00-18:00,150,37.772541,-122.410089
10th and Harrison,2010,17:00-18:00,200,37.771591,-122.411291
13th and Harrison,2010,17:00-18:00,200,37.769530,-122.413362
3rd and Bryant,2010,17:00-18:00,702,37.781317,-122.395884
4th and Bryant,2010,17:00-18:00,850,37.779554,-122.398105
5th and Bryant,2010,17:00-18:00,520,37.777807,-122.400326
6th and Bryant,2010,17:00-18:00,300,37.776043,-122.402558
7th and Bryant,2010,17:00-18:00,300,37.774296,-122.404779
8th and Bryant,2010,17:00-18:00,150,37.772532,-122.407010
9th and Bryant,2010,17:00-18:00,250,37.771311,-122.408577
10th and Bryant,2010,17:00-18:00,200,37.770336,-122.409789
11th and Bryant and Division,2010,17:00-18:00,200,37.769403,-122.410926
10th and Brannan and Division,2010,17:00-18:00,200,37.769233,-122.408083
8th and Division and Henry Adams and Townsend,2010,17:00-18:00,250,37.769920,-122.403920
16th and Guerrero,2010,17:00-18:00,888,37.764789,-122.424112
16th and Mission,2010,17:00-18:00,400,37.765060,-122.419681
16th and SVN,2010,17:00-18:00,350,37.765196,-122.417525
16th and Folsom,2010,17:00-18:00,250,37.765323,-122.415347
16th and Potrero,2010,17:00-18:00,353,37.765790,-122.407579
16th and De Haro,2010,17:00-18:00,144,37.766146,-122.401732
16th and 7th,2010,17:00-18:00,81,37.766545,-122.395176
16th and 3rd,2010,17:00-18:00,80,37.766909,-122.389104
3rd and Mariposa,2010,17:00-18:00,80,37.764322,-122.388879

http://docs.trb.org/prp/12-4224.pdf

4th and Market,9/17/2009,16:00-18:00,20084,37.785728,-122.405959
6th and Market,9/16/2009,16:00-18:00,6024,37.782217,-122.410368
California and Montgomery,8/11/2010,16:00-18:00,5514,37.792867,-122.402794
8th and Market,9/17/2009,16:00-18:00,6570,37.77875,-122.41480
16th and Mission,9/15/2009,07:00-09:00,3391,37.76506,-122.41969
Beach and Hyde,9/16/2009,16:00-18:00,4062,37.806656,-122.420588
3rd and Howard,9/8/2009,16:00-18:00,2365,37.785021,-122.400492
Columbus and Union,8/18/2010,16:00-18:00,3462,37.800324,-122.410256
Jackson and Powell,8/10/2010,16:00-18:00,2279,37.795627,-122.409912
9th and Irving,9/15/2009,07:00-09:00,1192,37.76402,-122.46640
Chestnut and Steiner,9/15/2009,16:00-18:00,2548,37.800609,-122.437899
6th and Mission,9/16/2009,16:00-18:00,2198,37.780987,-122.408732
Pine and Polk,8/24/2010,16:00-18:00,1551,37.78963,-122.42052
7th and Folsom,9/17/2009,07:00-09:00,1195,37.77676,-122.40787
24th and Castro,9/15/2009,16:00-18:00,1341,37.751312,-122.434122
18th and Castro,9/10/2009,16:00-18:00,1375,37.760897,-122.435034
4th and Berry,8/19/2010,16:00-18:00,1155,37.775765,-122.393358
Golden Gate and Jones,9/17/2009,07:00-09:00,1071,37.782080,-122.412246
25th and Geary,9/9/2009,07:00-09:00,765,37.78012,-122.48478
Mission and Silver,9/17/2009,16:00-18:00,1374,37.728736,-122.431295
Divisadero and Geary,9/10/2009,16:00-18:00,1808,37.783313,-122.439486
Geneva and Ocean,9/10/2009,16:00-18:00,808,37.722993,-122.451905
Embarcadero and Washington,9/10/2009,16:00-18:00,1008,37.796729,-122.395455
Geary and Laguna,9/16/2009,07:00-09:00,487,37.78495,-122.42802
JFK and Stanyan,9/17/2009,16:00-18:00,831,
19th and Taraval,9/9/2009,16:00-18:00,693,
20th and SVN,7/20/2010,16:00-18:00,565,
25th and Harrison,7/22/2010,16:00-18:00,473,
Randall and San Jose,9/16/2009,07:00-09:00,533,
Baker and Page,8/11/2010,16:00-18:00,206,
18th and Texas,8/3/2010,16:00-18:00,226,
Buchanan and Page,7/28/2010,16:00-18:00,214,
Leland and Rutland,8/3/2010,16:00-18:00,191,
6th Ave and Lake,8/5/2010,16:00-18:00,140,
Bayshore and Oakdale,7/22/2010,16:00-18:00,142,
3rd and Jerrold,8/26/2010,16:00-18:00,121,
Alemany and Mount Vernon,8/10/2010,16:00-18:00,92,
Beverly and Garfield,8/10/2010,16:00-18:00,91,
34th and Ulloa,9/9/2009,07:00-09:00,44,
Walnut and Washington,8/3/2010,16:00-18:00,69,
Athens and Cordova,8/11/2010,16:00-18:00,51,
30th and Cabrillo,8/11/2010,16:00-18:00,49,
Sargent and Victoria,8/25/2010,16:30-18:30,36,
34th and Kirkham,8/17/2010,16:00-18:00,60,
Evelyn and Juanita,8/25/2010,16:00-18:00,88,
Kansas and Mariposa,8/26/2010,16:00-18:00,50,
43rd and Anza,8/17/2010,16:00-18:00,62,
Castenada and Pacheco,8/24/2010,16:00-18:00,38,
Ingalls and Palou,9/17/2009,16:00-18:00,60,
Burrows and Hamilton,8/10/2010,16:00-18:00,10,
